code,name,date,close,action,strength,reason
SZ002026,山东威达,2021-10-27,14.25,BUY_CHECK; SELL_CHECK; SELL_EARLY; SELL_MUST; BUY_CHECK; ,3.0,"macd historgram over 0 n days_7; sma21 under sma60; cross down sma5; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 14.25 ,sma60 14.141833333333333; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ002065,东华软件,2021-10-27,7.01,BUY_CHECK; BUY_CHECK; SELL_CHECK; SELL_EARLY; SELL_EARLY; SELL_MUST; SELL_CHECK; SELL_CHECK; SELL_CHECK; SELL_CHECK; ,22.8,"macd dea_signal over 0 n days_31; ma55 near ma21; close under sma60; cross down sma21; cross down sma60; SZ002065 2021-10-27,SELL_MUST, cross down sma60 and  macd dif cross down 0, price expected to continue drop. close 7.01 ,sma60 7.476333333333333; macd dif cross down sig; macd cross down 0; macd dif cross down 0; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ002072,*ST凯瑞,2021-10-27,5.7,BUY_CHECK; BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"macd dea_signal over 0 n days_51; ma55 near ma21; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 5.7 ,sma60 5.6626666666666665; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ002128,露天煤业,2021-10-27,14.22,BUY_CHECK; BUY_CHECK; BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"macd dea_signal over 0 n days_47; close great than 1.05 sma60; close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 14.22 ,sma60 13.285166666666667; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ002132,恒星科技,2021-10-27,5.09,BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 5.09 ,sma60 5.031166666666667; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
SZ002170,芭田股份,2021-10-27,6.07,BUY_CHECK; BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"macd dea_signal over 0 n days_71; close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 6.07 ,sma60 5.817833333333334; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ002176,江特电机,2021-10-27,24.83,BUY_CHECK; BUY_CHECK; BUY_CHECK; BUY_CHECK; SELL_MUST; BUY_CHECK; ,1.0,"macd historgram over 0 n days_3; ma55 near ma21; close great than 1.05 sma60; close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 24.83 ,sma60 23.5745; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ002191,劲嘉股份,2021-10-27,10.93,SELL_EARLY; SELL_EARLY; SELL_MUST; BUY_CHECK; ,7.0,"cross down sma5; cross down sma21; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 10.93 ,sma60 10.669; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ002206,海利得,2021-10-27,8.11,BUY_CHECK; SELL_CHECK; BUY_CHECK; BUY_EARLY; BUY_EARLY; SELL_MUST; BUY_CHECK; BUY_CHECK; ,9.6,"macd historgram over 0 n days_2; sma21 under sma60; close great than 1.2 sma200; cross over sma21; cross over sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 8.11 ,sma60 8.087833333333332; macd dif cross over sig; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ002275,桂林三金,2021-10-27,12.89,BUY_CHECK; SELL_CHECK; SELL_EARLY; SELL_MUST; SELL_CHECK; SELL_CHECK; ,5.2,"macd dea_signal over 0 n days_27; close under sma60; cross down sma60; SZ002275 2021-10-27,SELL_MUST, cross down sma60 and  macd dif cross down 0, price expected to continue drop. close 12.89 ,sma60 13.173166666666667; macd dif cross down 0; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
