code,name,roe_pe,roe,pe_ttm
SH688116,天奈科技,0.05,6.6159,139.0346
SH603602,纵横通信,0.05,2.3205,47.0434
SZ002893,华通热力,0.05,4.599,89.0221
SZ300645,正元智慧,0.05,4.2193,78.082
SZ300808,久量股份,0.05,3.606,76.7239
SH600288,大恒科技,0.05,3.434,68.5029
SZ300078,思创医惠,0.05,3.5936,70.2312
SZ300665,飞鹿股份,0.05,4.9443,93.3328
SH600137,浪莎股份,0.05,3.4946,73.7591
SZ300581,晨曦航空,0.05,9.1399,177.0544
SH603655,朗博科技,0.05,4.5003,86.6904
SZ300672,国科微,0.05,5.9043,126.5393
SH600114,东睦股份,0.05,3.3129,60.9065
SZ002792,通宇通讯,0.05,3.5732,72.3428
SH603665,康隆达,0.05,7.2196,134.8929
SH603078,江化微,0.05,6.1033,124.2331
SZ000919,金陵药业,0.05,2.2714,41.8358
SH688099,晶晨股份,0.05,4.0169,77.8617
SZ002170,芭田股份,0.05,3.9607,74.018
SH600178,东安动力,0.05,2.0633,39.7572
SH688017,绿的谐波,0.05,7.1102,136.3851
SZ300053,欧比特,0.05,3.6302,66.6545
SH603396,金辰股份,0.05,8.6017,168.7931
SZ300046,台基股份,0.05,5.1483,101.8785
SH603042,华脉科技,0.05,3.905,74.7701
SH600182,SST佳通,0.05,6.0225,115.9347
SZ300553,集智股份,0.05,3.7352,71.4041
SZ002009,天奇股份,0.05,3.0903,56.7431
SH688065,凯赛生物,0.05,6.0915,119.1842
SH600662,外服控股,0.05,1.8088,38.7747
SZ000970,中科三环,0.05,2.8073,53.4579
SH688559,海目星,0.05,7.6015,151.4801
SZ300890,翔丰华,0.05,5.416,103.6016
SH600169,太原重工,0.05,0.8553,17.582
SZ002986,宇新股份,0.05,2.2686,47.0394
SZ002046,国机精工,0.05,2.2735,42.292
SH600151,航天机电,0.05,3.1886,69.0643
SH603009,北特科技,0.05,1.9745,40.9639
SH601606,长城军工,0.05,4.9765,99.2192
SH601816,京沪高铁,0.05,1.886,40.041
SZ300299,富春股份,0.05,7.7394,147.8816
SZ300339,润和软件,0.05,5.866,126.197
SZ300349,金卡智能,0.05,3.0733,63.0118
SH600503,华丽家族,0.05,3.8738,74.2747
SZ000801,四川九洲,0.05,3.0703,60.9162
SH603098,森特股份,0.05,8.6788,176.9624
SZ002410,广联达,0.05,6.8322,135.8888
SZ000790,华神科技,0.05,4.1839,76.8411
SZ000788,北大医药,0.05,3.0744,68.188
SZ002424,贵州百灵,0.05,3.8312,76.7102
SZ002433,太安堂,0.05,0.4246,9.0963
SH601007,金陵饭店,0.05,2.8756,54.0427
SZ000768,中航西飞,0.05,4.8807,102.3324
SH688309,恒誉环保,0.05,9.7983,209.8299
SZ300489,中飞股份,0.05,6.5068,126.8357
SZ002589,瑞康医药,0.05,3.5659,70.3423
SH600428,中远海特,0.05,1.3079,27.1136
SZ002577,雷柏科技,0.05,4.5145,85.6224
SZ002458,益生股份,0.05,2.7302,59.2888
SZ000677,恒天海龙,0.05,2.3013,46.5613
SH688022,瀚川智能,0.05,4.9835,96.9504
SZ000819,岳阳兴长,0.05,3.2739,69.985
SH600320,振华重工,0.05,2.8043,54.8304
SZ300510,金冠股份,0.05,2.0257,43.5041
SZ002751,易尚展示,0.05,3.717,70.0628
SZ002747,埃斯顿,0.05,7.6515,165.4845
SZ002199,东晶电子,0.04,1.9912,54.3161
SZ002590,万安科技,0.04,3.3591,95.2159
SZ300598,诚迈科技,0.04,8.1315,194.2688
SH603528,多伦科技,0.04,4.7184,108.1056
SZ300781,因赛集团,0.04,2.5627,57.5166
SH600227,圣济堂,0.04,1.7418,44.1982
SZ300713,英可瑞,0.04,4.008,101.0054
SZ000408,藏格控股,0.04,2.893,65.445
SH600423,柳化股份,0.04,3.2933,79.6352
SZ002808,恒久科技,0.04,4.3898,113.6841
SH603029,天鹅股份,0.04,1.8955,48.995
SH600232,金鹰股份,0.04,2.9264,75.4706
SZ002073,软控股份,0.04,2.2434,49.9632
SH600212,江泉实业,0.04,8.0613,189.1376
SH688585,上纬新材,0.04,12.3522,313.1064
SH605001,威奥股份,0.04,7.4288,178.1585
SZ002772,众兴菌业,0.04,7.0923,187.9882
SZ000032,深桑达A,0.04,9.7686,273.69
SH601698,中国卫通,0.04,4.2714,106.5476
SZ002474,榕基软件,0.04,3.1805,82.6967
SZ002526,山东矿机,0.04,3.9397,93.2457
SZ002828,贝肯能源,0.04,2.5563,71.0382
SZ002339,积成电子,0.04,3.247,83.8985
SZ002371,北方华创,0.04,8.4979,207.5647
SZ300604,长川科技,0.04,8.1318,181.5464
SH600505,西昌电力,0.04,2.8763,69.4512
SH603716,塞力医疗,0.04,3.6701,98.6706
SZ002378,章源钨业,0.04,2.2061,59.9411
SZ002389,航天彩虹,0.04,4.2008,95.3165
SZ002676,顺威股份,0.04,2.5929,61.297
SZ300624,万兴科技,0.04,15.8145,425.3658
SZ300708,聚灿光电,0.04,2.8585,70.767
SZ002708,光洋股份,0.04,3.4792,90.266
SZ000520,长航凤凰,0.04,2.5376,58.4161
SZ002364,中恒电气,0.04,3.893,88.4227
SZ002397,梦洁股份,0.04,2.4109,63.1918
SZ002159,三特索道,0.04,2.2711,58.0426
SZ300663,科蓝软件,0.04,6.5592,180.7635
SZ300678,中科信息,0.04,5.3844,142.23
SZ002151,北斗星通,0.04,3.925,101.1807
SZ002969,嘉美包装,0.04,1.6536,36.9713
SZ002981,朝阳科技,0.04,7.1067,158.3013
