code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SH600560,金自天正,20211231,99576060.06,48469792.3,-108044021.79,5390803.61,99576060.06,252239417.67,217014127.42,219110320.76,8933898.99,43240118.54,0.0,0.0
SH600563,法拉电子,20211231,907625959.69,844351775.39,-603405303.31,-267685450.49,907625959.69,875537329.26,390964698.52,0.0,9735990.05,786049764.04,0.0,19154867.23
SH600575,淮河能源,20211231,1625261432.21,538462215.84,-404961224.78,-584360149.33,1625261432.21,1715064183.89,1211080315.64,0.0,27232989.2,2026741549.55,193396.23,84229696.23
SH600583,海油工程,20211231,3033219500.0,371992900.0,-2945549700.0,-468820600.0,3033219500.0,5657219700.0,8337107100.0,0.0,17901900.0,1170780600.0,0.0,0.0
SH600584,长电科技,20211231,7428671369.12,2960259419.44,-6315971153.87,-492004615.0,7428671369.12,4271528224.96,5298082847.58,0.0,77129672.77,2761329952.39,0.0,2023227591.29
SH600588,用友网络,20211231,1303626688.0,682370747.0,-1230056657.0,-587777842.0,1303626688.0,1279716583.0,654328792.0,160235162.0,185052822.0,4616015640.0,0.0,1311038615.0
SH600597,光明乳业,20211231,2058481160.0,566893573.0,-2594595954.0,783054416.0,2058481160.0,1914279778.0,3304709933.0,0.0,46350985.0,3206113341.0,0.0,827125614.0
SH600602,云赛智联,20211231,156133853.23,292220550.52,-302790868.79,40175814.78,156133853.23,716006379.5,695614417.52,96345901.65,64673958.82,3573260615.34,0.0,243411383.26
SH600616,金枫酒业,20211231,68121447.67,-17063272.3,-155752952.3,-32725158.58,68121447.67,91532283.85,71856188.93,11169030.0,10839938.8,323103422.15,0.0,46876530.02
SH600635,大众公用,20211231,674261904.04,392175297.48,-493929301.25,-261423215.34,674261904.04,1226652600.1,1588033705.08,140000.0,10261958.85,2042607630.12,0.0,12736861.44
