code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SZ002742,三圣股份,20181231,-85464593.64,140518500.49,-535869950.59,474474080.11,-85464593.64,1499959961.02,688073091.89,166464436.6,379380049.32,380621537.08,0.0,492984146.11
SZ002745,木林森,20181231,295113952.82,727904152.89,191093160.97,1322703486.44,295113952.82,3905425160.86,3896662772.26,1638751211.45,71410691.67,6499730281.84,0.0,1759430422.17
SZ002747,埃斯顿,20181231,14420555.96,113930086.08,-381576219.44,272250207.81,14420555.96,594063536.88,225682766.16,270071815.55,27290677.21,316417743.93,36536337.79,470475241.91
SZ002748,世龙实业,20181231,6946131.99,56907783.46,-128008839.51,104148396.01,6946131.99,110499206.65,72724048.97,235839680.55,1820795.42,188868749.12,0.0,0.0
SZ002766,*ST索菱,20181231,-1020974311.3,-313640749.99,16210117.41,287775950.14,-1020974311.3,926156922.32,286384837.18,37227649.38,1376020910.94,114922599.98,7844988.89,512789711.51
SZ002767,先锋电子,20181231,12684205.93,25820499.29,6672437.54,-8400000.0,12684205.93,206760963.67,69052289.18,4226178.6,1312646.09,46005160.67,0.0,0.0
SZ002768,国恩股份,20181231,10641307.42,314125017.28,-295675025.75,862025332.54,10641307.42,420500701.54,318471608.99,386728133.33,15809625.59,813212782.52,0.0,0.0
SZ002769,普路通,20181231,-512397054.95,102164190.89,-9586323.3,-711192425.85,-512397054.95,1277587757.01,668015948.05,11362067.41,236141652.92,9049082286.64,0.0,0.0
SZ002771,真视通,20181231,-142021822.94,42085178.9,19556113.52,7676893.3,-142021822.94,476950125.99,276179589.73,50512002.24,14960454.64,236200438.2,0.0,0.0
SZ002774,快意电梯,20181231,-55646738.74,71728621.26,-54527546.71,5660321.0,-55646738.74,236949621.4,148472102.46,0.0,21870636.73,261107059.44,0.0,0.0
SZ002775,文科园林,20181231,58584840.06,249551053.17,-226949750.26,708873472.77,58584840.06,732169535.53,426953674.82,377411194.84,98566837.98,855484719.66,0.0,0.0
SZ002778,中晟高科,20181231,-2828967.23,18130808.99,-46175921.88,-19232.05,-2828967.23,160816723.18,35884077.41,93112705.52,4549955.12,34396650.49,0.0,0.0
SZ002781,奇信股份,20181231,-248905076.86,159614558.89,-130922579.48,76141262.33,-248905076.86,3399392493.22,838335966.43,43096876.07,96218578.49,649265164.7,0.0,7307113.79
SZ002782,可立克,20181231,27007556.92,84999183.98,75246756.26,-88999837.07,27007556.92,272477225.37,162372553.29,12386106.65,28526485.1,194798762.56,0.0,0.0
SZ002791,坚朗五金,20181231,32079199.75,169217955.12,-230413186.26,-37529057.95,32079199.75,996014319.93,504880138.77,394403205.06,41237085.8,446588696.15,0.0,0.0
SZ002792,通宇通讯,20181231,21312731.54,50824180.66,-158853056.75,-15010248.73,21312731.54,605910033.76,415497651.27,95750808.46,32748788.22,1077828197.14,0.0,68132775.39
SZ002796,世嘉科技,20181231,-15882657.98,51117177.27,-150911077.91,176106649.18,-15882657.98,259991501.71,376905045.45,191846568.42,6819562.12,168268079.68,0.0,568559303.3
SZ002797,第一创业,20181231,-832723459.99,131613628.07,-546443478.17,-19496226.22,-832723459.99,0.0,0.0,0.0,0.0,5211023109.67,0.0,14530078.7
SZ002798,帝欧家居,20181231,60661712.24,375735868.35,-665194416.58,334279520.2,60661712.24,1506833937.02,687389845.46,222813007.85,28757429.68,505747537.5,0.0,521370170.16
SZ002807,江阴银行,20181231,-11897037000.0,780124000.0,2054402000.0,8617129000.0,-11897037000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ002808,恒久科技,20181231,-35016238.51,34659747.32,-64318565.79,50847289.17,-35016238.51,115708365.92,49709548.09,861938.0,11941.75,160416538.74,0.0,0.0
SZ002809,红墙股份,20181231,-39719654.88,68311444.07,-131251291.65,-56760983.29,-39719654.88,476440520.74,31797195.94,325585098.7,111010636.1,267605288.5,0.0,0.0
